id,fecha_informe,fecha_inicio_campo,fecha_fin_campo,presidente,encuestadora,producto,aprueba_pct,desaprueba_pct,nr_pct,n_muestra,aprueba_gob_pct,desaprueba_gob_pct,nr_gob_pct,neto_gob,modalidad,n_informe,excluir,url_fuente
64,22-11-2018,22-11-2018,22-11-2018,Sebastián Piñera,Cadem,Plaza Pública,38.0,48.0,14.0,707,,,,,online,254,0,https://insight-chile.cl/storage/2018/11/Track-PP-254-Noviembre-S3-VF.pdf
65,25-11-2018,19-10-2018,25-11-2018,Sebastián Piñera,CEP,Encuesta CEP,37.0,39.0,24.0,1402,,,,,presencial,Citado en CEP (25-11-2018),0,https://web.archive.org/web/20200711143529/https://www.cepchile.cl/cep/site/docs/20181207/20181207101838/encuestacep_oct_nov2018.pdf
66,27-11-2018,07-11-2018,27-11-2018,Sebastián Piñera,GfK Adimark,GfK Adimark,44,49,3,1100,,,,,online,Diciembre 2018,0,https://cdn2.hubspot.net/hubfs/2405078/cms-pdfs/fileadmin/user_upload/country_one_pager/cl/gfk_indicador_aprobacion_de_gobierno_noviembre_2018.pdf
67,29-11-2018,28-11-2018,29-11-2018,Sebastián Piñera,Cadem,Plaza Pública,41.0,46.0,13.0,705,,,,,online,255,0,https://insight-chile.cl/storage/2018/12/Track-PP-255-Noviembre-S4-VF.pdf
68,30-11-2018,22-11-2018,30-11-2018,Sebastián Piñera,Criteria,Agenda Criteria,37,51,22,800,,,,,online,Noviembre 2018,0,https://web.archive.org/web/20211105163828/https://www.criteria.cl/wp-content/uploads/2019/05/ACC-Noviembre-2018.pdf
69,06-12-2018,06-12-2018,06-12-2018,Sebastián Piñera,GfK Adimark,GfK Adimark,38.0,52.0,10.0,1100,,,,,presencial,Diciembre 2018,0,https://cdn2.hubspot.net/hubfs/2405078/cms-pdfs/fileadmin/user_upload/country_one_pager/cl/gfk_indicador_aprobacion_de_gobierno_diciembre_2018_vf.pdf
70,06-12-2018,05-12-2018,06-12-2018,Sebastián Piñera,Cadem,Plaza Pública,39.0,46.0,15.0,705,,,,,online,256,0,https://insight-chile.cl/storage/2018/12/Track-PP-256-Diciembre-S1-VF-2.pdf
71,13-12-2018,12-12-2018,13-12-2018,Sebastián Piñera,Cadem,Plaza Pública,38.0,47.0,15.0,708,,,,,online,257,0,https://insight-chile.cl/storage/2018/12/Track-PP-257-Diciembre-S2-VF_2.pdf
72,20-12-2018,19-12-2018,20-12-2018,Sebastián Piñera,Cadem,Plaza Pública,38.0,47.0,15.0,708,,,,,online,258,0,https://insight-chile.cl/storage/2018/12/Track-PP-258-Diciembre-S3-VF.pdf
73,27-12-2018,26-12-2018,27-12-2018,Sebastián Piñera,Cadem,Plaza Pública,40.0,46.0,14.0,711,,,,,online,259,0,https://insight-chile.cl/storage/2018/12/Track-PP-259-Diciembre-S4-VF.pdf
74,28-12-2018,18-12-2018,28-12-2018,Sebastián Piñera,Criteria,Agenda Criteria,39,46,15,800,,,,,online,Diciembre 2018,0,https://web.archive.org/web/20211105163821/https://www.criteria.cl/wp-content/uploads/2019/05/ACC-Diciembre-2018.pdf
75,02-01-2019,02-01-2019,02-01-2019,Sebastián Piñera,Cadem,Plaza Pública,40.0,45.0,15.0,706,,,,,online,260,0,https://insight-chile.cl/storage/2019/01/Track-PP-260-Enero-S1-VF.pdf
76,10-01-2019,09-01-2019,10-01-2019,Sebastián Piñera,Cadem,Plaza Pública,40.0,43.0,17.0,704,,,,,online,261,0,https://insight-chile.cl/storage/2019/01/Track-PP-261-Enero-S2-VF.pdf
77,17-01-2019,16-01-2019,17-01-2019,Sebastián Piñera,Cadem,Plaza Pública,42.0,42.0,16.0,706,,,,,online,262,0,https://insight-chile.cl/storage/2019/01/Track-PP-262-Enero-S3-VF.pdf
78,24-01-2019,,24-01-2019,Sebastián Piñera,Activa Research,Pulso Ciudadano,20.9,35.2,43.9,,,,,,online,,1,
79,24-01-2019,23-01-2019,24-01-2019,Sebastián Piñera,Cadem,Plaza Pública,42.0,42.0,16.0,706,,,,,online,263,0,https://insight-chile.cl/storage/2019/01/Track-PP-263-Enero-S4-VF.pdf
80,31-01-2019,22-01-2019,31-01-2019,Sebastián Piñera,Criteria,Agenda Criteria,43,41,16,800,,,,,online,Enero 2019,0,https://web.archive.org/web/20211105163825/https://www.criteria.cl/wp-content/uploads/2019/05/ACC-Enero-2019.pdf
81,31-01-2019,17-01-2019,31-01-2019,Sebastián Piñera,Activa Research,Pulso Ciudadano,20.9,35.2,3.0,1001,,,,,online,Citado en activaresearch.cl (31-01-2019),0,https://web.archive.org/web/20191226054329/https://www.activaresearch.cl/storage/downloads/b0b349bab34d0d4336b473368eadf7b3.pdf
82,01-02-2019,30-01-2019,01-02-2019,Sebastián Piñera,Cadem,Plaza Pública,44.0,44.0,12.0,704,,,,,online,264,0,https://insight-chile.cl/storage/2019/02/Track-PP-264-Enero-S5-VF.pdf
83,07-02-2019,06-02-2019,07-02-2019,Sebastián Piñera,Cadem,Plaza Pública,44.0,44.0,12.0,710,,,,,online,265,0,https://insight-chile.cl/storage/2019/02/Track-PP-265-Febrero-S1-VF.pdf
84,14-02-2019,13-02-2019,14-02-2019,Sebastián Piñera,Cadem,Plaza Pública,42.0,44.0,14.0,700,,,,,online,266,0,https://insight-chile.cl/storage/2019/02/Track-PP-266-Febrero-S2-VF.pdf
85,20-02-2019,20-02-2019,20-02-2019,Sebastián Piñera,Cadem,Plaza Pública,42.0,44.0,14.0,709,,,,,online,267,0,https://insight-chile.cl/storage/2019/02/Track-PP-267-Febrero-S3-VF-1.pdf
86,28-02-2019,18-02-2019,28-02-2019,Sebastián Piñera,Criteria,Agenda Criteria,44,44,12,801,,,,,online,Febrero 2019,0,https://web.archive.org/web/20211105163834/https://www.criteria.cl/wp-content/uploads/2019/05/ACC-Febrero-2019.pdf
